Base License Number,Year,Month,Total Dispatched Trips,Unique Dispatched Vehicles
UBER,2015,1,1871075,12544
UBER,2016,1,4301254,29665
LYFT,2016,1,564149,9858
LYFT,2017,1,1285621,19683
UBER,2017,1,7736951,48451
LYFT,2018,1,3141012,36779
UBER,2018,1,11671765,65187
UBER,2019,1,16184069,79178
LYFT,2019,1,4623412,50099
UBER,2020,1,14582520,70090
LYFT,2020,1,5274248,44285
LYFT,2021,1,3094325,30565
UBER,2021,1,8704128,39982
UBER,2022,1,10826336,59725
LYFT,2022,1,3925255,46216
LYFT,2023,1,4898879,51834
UBER,2023,1,13580152,67182
LYFT,2024,1,5231175,61326
UBER,2024,1,14432755,75670
UBER,2015,2,2178305,13531
LYFT,2016,2,667766,9734
UBER,2016,2,4827339,29538
UBER,2017,2,7244518,48847
LYFT,2017,2,1619126,21715
UBER,2018,2,11506356,65375
LYFT,2018,2,3144050,36614
UBER,2019,2,13503042,77712
LYFT,2019,2,4689540,50929
LYFT,2020,2,5339549,43192
UBER,2020,2,15743610,68841
UBER,2021,2,8290758,39322
LYFT,2021,2,3237166,29617
LYFT,2022,2,4578385,46065
UBER,2022,2,11440898,60334
UBER,2023,2,13280939,67100
LYFT,2023,2,4680032,51089
UBER,2015,3,2259575,14290
UBER,2016,3,4949743,29835
LYFT,2016,3,691455,9266
UBER,2017,3,8641724,49990
LYFT,2017,3,1923915,22332
LYFT,2018,3,3471602,36783
UBER,2018,3,13462091,66567
LYFT,2019,3,4696685,52436
UBER,2019,3,17247995,78973
LYFT,2020,3,3219541,40329
UBER,2020,3,9836781,66472
LYFT,2021,3,3946703,32542
UBER,2021,3,10173376,44460
UBER,2022,3,13136268,62431
LYFT,2022,3,5317280,48249
LYFT,2023,3,5860171,52917
UBER,2023,3,14553368,68588
UBER,2015,4,2280332,14952
LYFT,2015,4,80613,2519
LYFT,2016,4,810447,10865
UBER,2016,4,5103751,30702
LYFT,2017,4,1766732,23250
UBER,2017,4,8181383,51875
UBER,2018,4,13222485,67970
LYFT,2018,4,3332985,37429
LYFT,2019,4,4287895,53370
UBER,2019,4,15657427,78257
LYFT,2020,4,1144083,11666
UBER,2020,4,3102835,19449
UBER,2021,4,10238382,46797
LYFT,2021,4,3768879,34834
LYFT,2022,4,4741581,48257
UBER,2022,4,13010980,62997
UBER,2023,4,13998413,69069
LYFT,2023,4,5146490,53939
UBER,2015,5,1854691,12472
LYFT,2015,5,100862,2701
LYFT,2016,5,994444,12955
UBER,2016,5,5391879,32505
LYFT,2017,5,1934661,24962
UBER,2017,5,8794695,54465
LYFT,2018,5,3400356,38628
UBER,2018,5,13579992,70054
LYFT,2019,5,4681243,52592
UBER,2019,5,15876062,77654
LYFT,2020,5,1621495,15045
UBER,2020,5,4359377,24251
UBER,2021,5,10808415,48956
LYFT,2021,5,3814434,36425
LYFT,2022,5,4831901,48229
UBER,2022,5,13325434,63904
UBER,2023,5,14277828,69183
LYFT,2023,5,5569848,54623
UBER,2015,6,2816572,18751
LYFT,2015,6,111111,2963
UBER,2016,6,5358138,34327
LYFT,2016,6,1073973,15095
LYFT,2017,6,2010328,26447
UBER,2017,6,8898156,56712
LYFT,2018,6,3664808,39519
UBER,2018,6,13267600,71006
UBER,2019,6,14396737,76681
LYFT,2019,6,4998481,52185
LYFT,2020,6,2310860,16422
UBER,2020,6,5114308,25821
LYFT,2021,6,4130660,37466
UBER,2021,6,10747390,50389
UBER,2022,6,13049858,64305
LYFT,2022,6,4730217,48576
UBER,2023,6,13811993,69400
LYFT,2023,6,5554626,55320
UBER,2015,7,3107558,21616
LYFT,2015,7,194815,3895
LYFT,2016,7,951376,14442
UBER,2016,7,5899045,35765
UBER,2017,7,8962215,58215
LYFT,2017,7,2278279,28267
UBER,2018,7,14063243,71836
LYFT,2018,7,3632375,40899
UBER,2019,7,14042889,75420
LYFT,2019,7,4682093,51316
LYFT,2020,7,2716099,21163
UBER,2020,7,7081522,32652
LYFT,2021,7,4229852,38119
UBER,2021,7,10704366,51053
LYFT,2022,7,4888906,48967
UBER,2022,7,12572625,63790
LYFT,2023,7,5400270,56059
UBER,2023,7,13731861,68767
UBER,2015,8,3316381,23350
LYFT,2015,8,318717,5016
UBER,2016,8,5893649,40336
LYFT,2016,8,1095428,15033
UBER,2017,8,8992847,58787
LYFT,2017,8,2384976,29889
LYFT,2018,8,3936418,41968
UBER,2018,8,14060879,72344
LYFT,2019,8,4698486,48556
UBER,2019,8,13925893,73692
UBER,2020,8,7856499,41099
LYFT,2020,8,3072675,30098
LYFT,2021,8,4209240,39929
UBER,2021,8,10196747,51083
LYFT,2022,8,4684984,48172
UBER,2022,8,12499445,63315
UBER,2023,8,13143169,68744
LYFT,2023,8,5178981,56404
LYFT,2015,9,399622,5592
UBER,2015,9,3709270,25035
LYFT,2016,9,1068625,15374
UBER,2016,9,6481751,43131
UBER,2017,9,9525248,60011
LYFT,2017,9,2528638,31416
LYFT,2018,9,3960252,43686
UBER,2018,9,14049967,74249
LYFT,2019,9,4611514,48447
UBER,2019,9,13964765,73065
LYFT,2020,9,3116906,31613
UBER,2020,9,8847755,42294
LYFT,2021,9,4240481,43051
UBER,2021,9,10557442,56492
LYFT,2022,9,4891236,49594
UBER,2022,9,12902315,65268
UBER,2023,9,14311606,70511
LYFT,2023,9,5539517,57901
LYFT,2015,10,434476,6657
UBER,2015,10,4359759,26875
UBER,2016,10,7007436,44076
LYFT,2016,10,1112748,15926
LYFT,2017,10,2904741,34304
UBER,2017,10,10135304,61613
UBER,2018,10,14663999,75606
LYFT,2018,10,4246575,46167
UBER,2019,10,14509882,72581
LYFT,2019,10,5346314,47217
UBER,2020,10,9797775,43848
LYFT,2020,10,3323082,33098
LYFT,2021,10,4429566,45407
UBER,2021,10,12086389,59108
UBER,2022,10,14096704,66343
LYFT,2022,10,5203198,50345
UBER,2023,10,14375602,71965
LYFT,2023,10,5810728,58902
UBER,2015,11,4178591,27666
LYFT,2015,11,450483,7023
LYFT,2016,11,1112720,16639
UBER,2016,11,6973356,45182
LYFT,2017,11,2692200,34869
UBER,2017,11,10693287,62549
LYFT,2018,11,4195596,47723
UBER,2018,11,14554993,76494
LYFT,2019,11,5144737,44804
UBER,2019,11,15610941,71965
UBER,2020,11,8375281,44349
LYFT,2020,11,3090686,34305
LYFT,2021,11,4222042,45594
UBER,2021,11,11819597,59896
LYFT,2022,11,5117891,50872
UBER,2022,11,12966823,66766
UBER,2023,11,13788773,72604
LYFT,2023,11,5480477,59550
UBER,2015,12,4343828,28716
LYFT,2015,12,524782,6830
UBER,2016,12,7880513,46886
LYFT,2016,12,1272827,17656
LYFT,2017,12,3031881,35077
UBER,2017,12,11836385,64294
UBER,2018,12,14999895,78093
LYFT,2018,12,4697772,48773
UBER,2019,12,16105602,71488
LYFT,2019,12,5430612,45310
UBER,2020,12,8486416,43284
LYFT,2020,12,3023412,33777
LYFT,2021,12,4252421,46652
UBER,2021,12,11802074,60776
LYFT,2022,12,5657939,51378
UBER,2022,12,14007908,67336
LYFT,2023,12,6242671,60845
UBER,2023,12,14273626,74231